Year	Manufacturer	Available	Model	Price	TaxCredit	Combined	City	Hiway	MotorKw	Torque	Battery	Weight	0-60	0-100	ChargePwr	To80%	SafetyRating
2020	Audi	TRUE	E-Tron	74800	7500	204			265	414	95	5754	5.5		150	30	5
2020	Audi	TRUE	Etron Sportback	77400	7500	218			265	414	95		5.5		150	30	5
2020	BMW	TRUE	i3	44450	7500	153			127	250	42	3000	7.2		50	40	4
2020	BMW	TRUE	i3s	48645	7500	153			135	199	42	3000	6.8		50	40	4
2021	BMW	FALSE	i4	50000	7500	270			395		80			4	150	35	
2021	BMW	FALSE	iNext			373			373								
2020	BMW	FALSE	iX3	61000	7500	217			210	400	80	4600		6.8	150		
2020	BMW	TRUE	MINI Electric Hardtop 2 Door	30000	7500	110			135	199	33	3153			50	36	
2020	Byton	FALSE	M-byte	45000	7500	250			186	295	71				150	30	
2019	Chevrolet	TRUE	Bolt	36620	0	259			149	266	66	3563	6.3		53	30	5
2021	Ford 	TRUE	Mach-E First Edition	61000	7500	270			248	417	98.8		5.5		150	38	
2020	Honda	FALSE	e	32000	7500	125			100	232	35.5	3400		8.3	100	30	
2019	Hyundai	TRUE	Kona SEL	36950	7500	258			150	291	64	3715	6.4		100	54	5
2020	Jaguar	TRUE	I-Pace	69000	7500	234			294	512	90	4702	4.5		100	40	5
2020	Kia	TRUE	e-Niro	38500	7500	239			150	291	64	3854	7.5	7.8	100	60	4
2021	Mazda	FALSE	MX-30	35000		114			107	320	35		8.8		50		
2020	Mercedes-Benz	FALSE	EQC		7500	276			300	564	100	5346	4.9		110	40	5
2019	Nissan	TRUE	Leaf SV	32600	7500				110	236	40	3468		7.9	50		
2019	Nissan	TRUE	Leaf SV Plus	38510		215			160	250	62	3811			100		
2020	Porsche	TRUE	Taycan Turbo	150900		237			500	627			3	3.2	270		
2020	Porsche	TRUE	Taycan Turbo S	185000		241			560	774				2.8	270		
2020	Renault	FALSE	Zoe ZE50		7500	242			100		52				50		
2020	Rivian	FALSE	R1S Long Range		7500	410			522	826	180						
2020	Rivian	FALSE	R1S Medium Range		7500	310			753	826	135						
2020	Rivian	FALSE	R1S Short Range	72500	7500	240			300	413	105						
2020	Rivian	FALSE	R1T Long Range		7500	400			559	829	180	5890	3.2		160		
2020	Rivian	FALSE	R1T Medium Range		7500	300							3				
2020	Rivian	FALSE	R1T Short Range	69000	7500	230							4.9				
2020	Tesla	TRUE	3 - Long Range	46990	0	322			307	376	75	4072	4.4		250		
2020	Tesla	TRUE	3 - Performance	54990	0	310	319	299	353	471	75	4072	3.2		250		
2020	Tesla	TRUE	3 - Standard Range	37990	0	250			211		50	3552	5.3		250		
2020	Tesla	TRUE	S Long Range	74990	0	402					100		3.7				
2020	Tesla	TRUE	S Performance	94990	0	348					100		2.4				
2020	Tesla	TRUE	X  Performance	90690	0	305							2.7				
2020	Tesla	TRUE	X Long Range	70690	0	351							4.4				
2020	Tesla	TRUE	Y - Performance	59990	0	291							3.5				
2020	Tesla	TRUE	Y Long Range	49990	0	316							5.5				
2020	Toyota	FALSE	C-HR														
2020	Toyota	FALSE	Izoa														
2020	Volkswagen	TRUE	I.D. Crozz		7500	280			225		83				150	30	
2020	Volkswagen	FALSE	ID.3	33000	7500	210			149	230	62				125		
2020	Volvo	FALSE	Polestar	63000	7500	275			408	487	78		4.7				

